feature_index,dimension,pearson_corr
0,believability,-0.9181612730026245
1,believability,0.020274939015507698
2,believability,-0.3733551800251007
3,believability,-0.019631702452898026
4,believability,0.02027493342757225
5,believability,0.028764571994543076
6,believability,-0.04552219435572624
7,believability,-0.9181618094444275
8,believability,0.028734728693962097
9,believability,0.0657137781381607
10,believability,-0.2100583165884018
11,believability,0.02027500607073307
12,believability,0.020274918526411057
13,believability,0.035361066460609436
14,believability,0.028768207877874374
15,believability,0.06729459017515182
16,believability,-0.48620861768722534
17,believability,-0.08522851020097733
18,believability,0.02027493342757225
19,believability,0.038066063076257706
20,believability,-0.06721919029951096
21,believability,0.020274927839636803
22,believability,0.020274892449378967
23,believability,0.04644749313592911
24,believability,0.04515042528510094
25,believability,-0.21433444321155548
26,believability,0.0202749315649271
27,believability,0.020274916663765907
28,believability,0.020274948328733444
29,believability,0.0202749315649271
30,believability,0.027454782277345657
31,believability,0.020274851471185684
32,believability,0.0202749315649271
33,believability,0.0202749315649271
34,believability,0.020274916663765907
35,believability,-0.33024367690086365
36,believability,0.02027495577931404
37,believability,-0.9181674718856812
38,believability,0.035547077655792236
39,believability,0.02027490735054016
40,believability,0.020274929702281952
41,believability,0.03554277494549751
42,believability,0.02027493342757225
43,believability,0.032701071351766586
44,believability,0.02027486450970173
45,believability,-0.09477216005325317
46,believability,0.02027493715286255
47,believability,0.05481155961751938
48,believability,-0.00264660082757473
49,believability,0.020274890586733818
50,believability,0.02872185781598091
51,believability,0.020274890586733818
52,believability,-0.0034509224351495504
53,believability,0.02027490735054016
54,believability,0.020274939015507698
55,believability,0.035051535815000534
56,believability,0.020274940878152847
57,believability,0.03525910526514053
58,believability,0.020274890586733818
59,believability,-0.05154843255877495
60,believability,-0.02827451005578041
61,believability,0.02027493715286255
62,believability,0.020274922251701355
63,believability,-0.214335098862648
64,believability,0.020274946466088295
65,believability,0.028796637430787086
66,believability,0.020274939015507698
67,believability,0.07404274493455887
68,believability,0.02885397896170616
69,believability,0.08294136822223663
70,believability,0.02883453108370304
71,believability,-0.9181615710258484
72,believability,0.020274965092539787
73,believability,-0.21433497965335846
74,believability,0.020274924114346504
75,believability,0.02027495950460434
76,believability,0.03525166213512421
77,believability,0.020274918526411057
78,believability,0.07621835917234421
79,believability,-0.072883240878582
80,believability,0.020274920389056206
81,believability,-0.918164074420929
82,believability,0.020274851471185684
83,believability,0.020274916663765907
84,believability,-0.16439877450466156
85,believability,0.020274942740797997
86,believability,-0.726815938949585
87,believability,-0.24580584466457367
88,believability,0.04636611416935921
89,believability,-0.5152473449707031
90,believability,0.028830891475081444
91,believability,0.05456322431564331
92,believability,0.02711111679673195
93,believability,-0.9181675910949707
94,believability,0.020274929702281952
95,believability,0.02700609527528286
96,believability,-0.05941730737686157
97,believability,0.020274929702281952
98,believability,0.07071436941623688
99,believability,-0.5094444751739502
100,believability,0.020275020971894264
101,believability,0.02027485892176628
102,believability,0.0202749352902174
103,believability,0.03930070996284485
104,believability,0.020274920389056206
105,believability,-0.21433565020561218
106,believability,0.02027498185634613
107,believability,0.028840625658631325
108,believability,0.020274940878152847
109,believability,-0.19189345836639404
110,believability,0.02027493715286255
111,believability,0.03552284464240074
112,believability,-0.5660541653633118
113,believability,0.04961211979389191
114,believability,0.020274922251701355
115,believability,0.020274939015507698
116,believability,0.07709039002656937
117,believability,0.0202749315649271
118,believability,0.02027490921318531
119,believability,0.020274927839636803
120,believability,0.020274924114346504
121,believability,0.020274950191378593
122,believability,0.1709001660346985
123,believability,0.02027486264705658
124,believability,0.020274918526411057
125,believability,0.06853950768709183
126,believability,0.06148790568113327
127,believability,0.02027491293847561
128,believability,-0.39067357778549194
129,believability,0.020274942740797997
130,believability,0.023147720843553543
131,believability,0.02027490921318531
132,believability,0.07170625030994415
133,believability,0.035506464540958405
134,believability,0.0202749352902174
135,believability,0.020274929702281952
136,believability,-0.9181662797927856
137,believability,0.04120432958006859
138,believability,0.08738932013511658
139,believability,0.020274916663765907
140,believability,0.02796594612300396
141,believability,0.06118053197860718
142,believability,0.020274905487895012
143,believability,0.02027488313615322
144,believability,0.02880813367664814
145,believability,0.04578786715865135
146,believability,0.0638875886797905
147,believability,0.020274916663765907
148,believability,-0.9181646108627319
149,believability,0.020274894312024117
150,believability,0.020274939015507698
151,believability,0.057936809957027435
152,believability,0.020274914801120758
153,believability,0.020274922251701355
154,believability,-0.7376734018325806
155,believability,0.020274939015507698
156,believability,0.020274991169571877
157,believability,0.08183575421571732
158,believability,0.020274898037314415
159,believability,0.051061246544122696
160,believability,0.04088812693953514
161,believability,0.10784915834665298
162,believability,-0.9181647896766663
163,believability,0.020274940878152847
164,believability,0.06394265592098236
165,believability,0.020274901762604713
166,believability,0.028835419565439224
167,believability,0.025214118883013725
168,believability,0.050810813903808594
